Graph,n,m,density
soc-dolphins,62,159,8.41E-02
rt-retweet,96,117,2.57E-02
ca-netscience,379,914,1.28E-02
web-polblogs,643,2280,1.10E-02
rt-twitter-copen,761,1029,3.56E-03
email-Eu-core,986,16064,3.31E-02
ca-CSphd,1882,1740,9.83E-04
web-edu,3031,6474,1.41E-03
ego-facebook,4039,88234,1.08E-02
ca-GrQc,4158,13422,1.55E-03
web-spam,4767,37375,3.29E-03
ca-Erdos992,6100,7515,4.04E-04
socfb-CMU,6621,249959,1.14E-02
ech-WHOIS,7476,56943,2.04E-03
ca-HepPh,11204,117619,1.87E-03
web-indochina-2004,11358,47606,7.38E-04
web-BerkStan,12305,19500,2.58E-04
socfb-UCSB37,14917,482215,4.33E-03
web-webbase-2001,16062,25593,1.98E-04
socfb-UConn,17206,604867,4.09E-03
ca-AstroPh,17903,196972,1.23E-03
socfb-UCLA,20453,747604,3.57E-03
ca-CondMat,21363,91286,4.00E-04
socfb-Berkeley13,22900,852419,3.25E-03
socfb-Wisconsin87,23831,835946,2.94E-03
soc-epinions,26588,100120,2.83E-04
Cit-HepTh,27769,352285,9.14E-04
socfb-Indiana,29732,1305757,2.95E-03
socfb-UIllinois,30795,1264421,2.67E-03
Cit-HepPh,34546,420877,7.05E-04
socfb-UF,35111,1465654,2.38E-03
Email-Enron,36692,183831,2.73E-04
socfb-Penn94,41536,1362220,1.58E-03
soc-brightkite,56739,212945,1.32E-04
socfb-OR,63392,816886,4.07E-04
soc-slashdot,70068,358647,1.46E-04
wordnet-words,73753,234024,8.60E-05
witter_combined,81306,1342296,4.06E-04
G_n_pin_pout,100000,501198,1.00E-04
yahoo-msg,100058,739815,1.48E-04
web-sk-2005,121422,334419,4.54E-05
web-uk-2005,129632,11744049,1.40E-03
rgg_n_2_17_s0,131070,728753,8.48E-05
soc-douban,154908,327162,2.73E-05
wave,156317,1059331,8.67E-05
web-arabic-2005,163598,1747269,1.31E-04
Loc-Gowalla,196591,950327,4.92E-05
soc-gowalla,196591,950327,4.92E-05
ca-dblp-2010,226413,716460,2.80E-05
ca-citeseer,227320,814134,3.15E-05
coAuthorsCiteseer,227320,814134,3.15E-05
web-Stanford,281903,1992636,5.01E-05
coAuthorsDBLP,299067,977676,2.19E-05
ca-dblp-2012,317080,1049866,2.09E-05
com-dblp,317080,1049866,2.09E-05
cnr-2000,325557,2738969,5.17E-05
web-NotreDame,325729,1090108,2.05E-05
ca-MathSciNet,332689,820644,1.48E-05
coPapersDBLP,434102,16036720,1.70E-04
auto,448695,3314611,3.29E-05
web-it-2004,509338,7178413,5.53E-05
rgg_n_2_19_s0,524284,3269766,2.38E-05
soc-delicious,536108,1365961,9.51E-06
ca-coauthors-dblp,540486,15245729,1.04E-04
soc-digg,770799,5907132,1.99E-05
eu-2005,862664,16138468,4.34E-05
web-Google,875713,4322051,1.13E-05
rgg_n_2_20_s0,1048575,6891620,1.25E-05
soc-pokec,1632803,22301964,1.67E-05
rgg_n_2_21_s0,2097148,14487995,6.59E-06
rgg_n_2_22_s0,4194301,30359198,3.45E-06
rgg_n_2_23_s0,8388607,63501393,1.80E-06
hugetrace-00010,12057441,18082179,2.49E-07
hugetrace-00020,16002413,23998813,1.87E-07
rgg_n_2_24_s0,16777215,132557200,9.42E-07
